periodo,temperatura_minima,temperatura_media,temperatura_maxima,humedad,velocidad_viento,direccion_viento,velocidad_max_viento,barometro,mm_lluvia,radiacion_solar
2010-05-23,9.2,16.8,4.0,67.6,,,,1014.4,0.0,77.5
2010-05-24,11.4,21.6,4.1,55.4,,,,1007.7,0.0,64.8
2010-05-25,7.3,11.6,3.8,46.2,,,,1018.9,0.0,55.3
2010-05-26,2.4,9.6,-3.1,66.0,,,,1035.4,0.0,55.6
2010-05-27,3.2,11.6,-5.9,85.7,,,,1029.0,0.5,18.0
2010-05-28,8.0,12.5,1.5,66.2,,,,1011.8,0.0,54.8
2010-05-29,3.6,14.5,-5.0,66.8,,,,1017.2,0.0,72.9
2010-05-30,5.1,9.9,-0.7,57.7,,,,1025.8,0.0,72.6
2010-05-31,7.8,18.8,0.6,62.3,,,,1019.1,0.0,71.0
2010-06-01,6.3,15.8,-2.4,66.3,,,,1011.1,0.0,65.3
2010-06-02,8.8,16.9,4.1,57.2,,,,1010.5,0.0,34.3
2010-06-03,5.0,14.8,-3.7,50.5,,,,1014.6,0.0,58.3
2010-06-04,7.7,17.4,-2.1,56.5,,,,1014.6,0.0,71.1
2010-06-05,14.5,19.6,5.7,43.1,,,,1008.0,0.0,55.5
2010-06-06,11.5,18.2,3.4,30.3,,,,1010.2,0.0,68.8
2010-06-07,2.0,10.4,-4.8,47.2,,,,1026.5,0.0,69.3
2010-06-08,-1.0,9.9,-9.1,55.6,,,,1032.7,0.0,69.7
2010-06-09,4.6,10.2,-5.1,64.0,11.8,S,51.5,1028.8,0.0,34.8
2010-06-10,8.5,12.8,5.8,66.3,18.2,S,51.5,1020.5,0.0,49.5
2010-06-11,10.1,13.8,7.4,57.2,13.4,S,46.7,1012.2,0.0,40.3
2010-06-12,13.2,18.9,7.9,47.0,5.9,ESE,33.8,1012.6,0.0,64.1
2010-06-13,11.2,17.7,7.2,59.0,9.1,WSW,30.6,1010.1,0.0,59.6
2010-06-14,8.8,13.3,5.9,75.2,7.5,SW,30.6,1003.1,0.0,44.6
2010-06-15,5.6,9.2,3.4,76.8,9.4,N,35.4,1014.1,1.8,34.6
2010-06-16,2.2,5.4,-3.8,81.4,3.1,N,20.9,1018.3,1.0,38.8
2010-06-17,-0.8,4.2,-5.8,82.9,3.5,NNE,30.6,1018.4,0.0,52.3
2010-06-18,-4.0,2.2,-8.6,83.0,0.7,NNE,12.9,1013.9,0.0,40.3
2010-06-19,-2.0,3.4,-8.4,78.1,1.5,NNE,16.1,1006.2,0.0,36.1
2010-06-20,-0.3,3.7,-8.3,70.6,10.3,NNE,43.5,1012.5,0.5,66.9
2010-06-21,-2.4,4.7,-9.2,78.2,0.1,NNE,11.3,1009.0,0.0,45.6
2010-06-22,4.1,13.5,-5.3,79.8,2.4,NNE,25.7,997.9,0.8,25.9
2010-06-23,11.3,14.3,5.1,46.7,12.1,,46.7,988.9,0.3,26.6
2010-06-24,8.4,11.9,4.2,40.3,17.2,ENE,54.7,1001.0,0.0,57.4
2010-06-25,6.0,13.2,-1.3,55.8,4.0,,41.8,1016.5,0.0,60.7
2010-06-26,4.9,13.4,-2.4,59.0,3.6,ENE,29.0,1014.8,0.0,65.7
2010-06-27,8.9,15.1,0.1,44.7,3.6,,24.1,1013.2,0.0,53.8
2010-06-28,15.7,20.5,11.4,41.4,12.6,,45.1,1004.6,0.0,43.9
2010-06-29,13.2,17.2,5.3,34.0,9.7,,46.7,1004.4,0.0,28.8
2010-06-30,5.9,13.4,-2.7,55.3,7.2,,46.7,1008.4,0.3,18.3
2010-07-01,10.8,16.7,1.3,51.3,5.0,NE,41.8,1003.2,0.0,54.2
2010-07-02,1.8,12.8,-6.1,59.7,2.4,S,22.5,1012.4,0.0,72.0
2010-07-03,2.5,13.5,-3.8,65.8,0.0,S,11.3,1008.5,0.0,56.2
2010-07-04,7.7,19.1,-4.7,55.3,4.8,SE,30.6,1001.8,0.0,61.3
2010-07-05,4.2,10.1,-1.9,46.2,7.1,WNW,37.0,1012.9,0.0,69.4
2010-07-06,6.7,12.0,0.7,52.3,11.4,SSW,48.3,1010.3,3.1,31.4
2010-07-07,6.2,9.7,1.3,75.4,4.7,ENE,33.8,1007.6,7.4,53.0
2010-07-08,4.0,7.8,-0.2,67.5,5.1,,35.4,1006.5,0.8,28.3
2010-07-09,4.2,9.1,-2.2,57.6,3.7,,25.7,1015.2,0.0,48.6
2010-07-10,9.8,15.0,3.4,56.0,7.1,ESE,45.1,1000.2,0.0,34.0
2010-07-11,4.8,9.0,2.3,68.6,21.2,NNE,72.4,1007.4,1.5,34.3
2010-07-12,4.4,8.6,0.7,57.5,19.2,NNE,54.7,1017.1,0.0,53.3
2010-07-13,5.4,8.5,3.7,73.6,16.8,NNE,43.5,1020.5,0.0,53.0
2010-07-14,3.1,6.6,0.4,80.5,11.5,NNE,38.6,1032.3,1.3,65.4
2010-07-15,-0.3,5.3,-4.8,69.5,4.3,NNE,17.7,1038.2,0.0,77.0
2010-07-16,-1.7,10.1,-9.6,67.8,0.1,NNE,11.3,1033.7,0.0,78.5
2010-07-17,0.9,12.6,-6.4,63.7,0.7,,14.5,1029.0,0.0,76.4
2010-07-18,2.5,12.6,-6.5,58.3,6.3,,33.8,1020.0,0.0,79.7
2010-07-19,2.8,10.9,-2.7,59.3,1.6,SW,16.1,1010.8,0.0,58.3
2010-07-20,4.3,8.9,-2.9,76.3,6.6,WSW,25.7,1014.0,0.0,35.8
2010-07-21,4.3,6.7,0.4,70.9,5.0,NNW,20.9,1018.0,0.0,52.3
2010-07-22,2.4,10.7,-3.6,67.3,3.6,N,32.2,1014.7,0.0,82.8
2010-07-23,1.3,8.2,-4.5,70.3,0.4,NE,16.1,1014.2,0.0,48.5
2010-07-24,1.7,12.9,-5.7,71.0,0.4,NE,12.9,1021.3,0.0,76.0
2010-07-25,2.8,12.3,-5.9,70.9,1.1,S,22.5,1018.5,0.0,71.3
2010-07-26,5.1,13.7,-4.3,59.5,3.1,ENE,32.2,1011.2,0.0,85.1
2010-07-27,9.7,14.7,0.7,39.9,9.0,NE,43.5,1003.4,0.0,65.9
2010-07-28,5.1,13.4,-4.3,46.4,3.6,,37.0,1013.3,0.0,76.7
2010-07-29,6.2,15.3,-2.8,49.6,1.2,NNW,14.5,1008.7,0.0,88.6
2010-07-30,2.2,8.7,-2.9,79.2,5.4,NNW,37.0,1012.9,0.0,67.2
2010-07-31,2.2,5.3,-1.8,59.7,14.2,NNE,57.9,1018.0,0.0,60.1
2010-08-01,-1.4,6.4,-7.8,58.2,4.6,NE,25.7,1026.1,0.0,
2010-08-02,-2.3,5.5,-8.2,64.1,3.1,NNE,20.9,1035.8,0.0,
2010-08-03,-1.5,9.6,-11.2,55.0,1.9,SW,16.1,1038.8,0.0,
2010-08-04,2.0,11.4,-5.9,43.3,8.2,SW,33.8,1034.6,0.0,
2010-08-05,3.0,8.3,-3.2,50.4,15.8,SW,56.3,1021.9,0.0,
2010-08-06,5.8,14.8,-3.8,48.9,5.9,SSE,46.7,1011.6,0.0,
2010-08-07,3.6,13.4,-4.5,50.4,3.4,,29.0,1017.5,0.0,
2010-08-08,5.4,14.8,-5.8,50.3,5.2,,49.9,1018.5,0.0,
2010-08-09,6.5,17.7,-3.0,52.3,4.3,N,38.6,1018.0,0.0,
2010-08-10,6.3,18.9,-6.1,47.4,1.7,NE,19.3,1017.0,0.0,
2010-08-11,8.5,18.2,-2.2,44.1,7.6,N,49.9,1009.1,0.0,
2010-08-12,4.3,9.9,-2.3,55.1,11.1,N,41.8,1031.3,0.0,
2010-08-13,1.0,10.2,-8.9,57.8,2.3,WNW,20.9,1034.9,0.0,
2010-08-14,2.8,12.1,-5.1,50.0,3.2,WSW,19.3,1027.0,0.0,
2010-08-15,5.9,11.6,-1.7,52.5,14.9,SSW,49.9,1016.1,0.0,
2010-08-16,11.6,19.5,3.9,43.8,8.2,ESE,37.0,1007.5,0.0,
2010-08-17,13.7,18.4,8.1,39.2,10.7,SSE,41.8,1003.9,0.0,
2010-08-18,8.4,13.9,1.9,59.8,7.2,NW,43.5,1010.4,1.0,
2010-08-19,8.4,15.9,1.8,51.9,7.2,NW,38.6,1018.9,0.0,
2010-08-20,10.9,21.4,2.8,48.8,3.2,WSW,37.0,1006.4,0.0,
2010-08-21,7.8,16.8,-2.7,35.8,4.8,ESE,37.0,1009.0,0.0,
2010-08-22,7.9,16.4,-0.4,31.8,5.5,ENE,35.4,1007.5,0.0,
2010-08-23,7.9,17.9,-3.7,37.3,4.6,ENE,41.8,1006.9,0.0,
2010-08-24,12.9,19.1,3.1,36.4,9.5,,35.4,1006.2,0.0,
2010-08-25,14.0,21.1,4.0,40.4,9.9,SE,48.3,1004.0,0.0,
2010-08-26,15.3,17.3,14.0,32.6,12.9,ESE,38.6,998.6,0.0,
2010-08-27,11.3,16.9,1.5,31.9,10.5,,54.7,1001.7,0.0,
2010-08-28,8.9,14.5,1.8,34.8,13.4,NNE,48.3,1006.4,0.0,
2010-08-29,4.9,12.0,-3.4,37.3,7.0,N,43.5,1019.6,0.0,
2010-08-30,11.0,18.9,5.8,22.8,17.8,SSW,53.1,1005.3,0.0,
2010-08-31,6.8,14.8,-1.4,45.5,7.5,N,,1015.7,,
2010-09-01,3.4,13.4,-7.4,50.1,4.7,WSW,33.8,1030.4,0.0,
2010-09-02,9.0,19.2,0.2,27.3,5.9,WSW,35.4,1022.4,0.0,
2010-09-03,9.7,18.8,1.3,42.8,6.1,NNE,48.3,1019.6,0.0,
2010-09-04,7.7,16.8,-0.9,47.7,8.0,NE,59.5,1014.7,0.0,
2010-09-05,7.5,17.3,-4.1,30.7,4.0,NE,37.0,1017.2,0.0,
2010-09-06,8.8,15.5,-0.4,41.1,4.7,N,29.0,1020.3,0.0,
2010-09-07,11.3,18.9,6.4,59.2,13.7,SW,38.6,1022.9,0.0,
2010-09-08,9.3,17.9,4.2,75.3,5.7,WSW,29.0,1017.6,0.0,
2010-09-09,10.9,18.1,7.2,80.1,3.8,ENE,29.0,1016.4,1.8,
2010-09-10,10.2,17.6,4.2,70.5,3.3,NNE,32.2,1017.5,0.3,
2010-09-11,8.8,16.6,1.7,59.9,5.7,N,32.2,1014.8,0.0,
2010-09-12,9.3,15.5,4.4,64.8,9.2,WSW,37.0,1016.4,0.0,
2010-09-13,10.6,19.1,2.9,57.6,4.8,SW,33.8,1013.9,0.0,
2010-09-14,12.0,19.1,4.7,40.0,6.0,NE,38.6,1009.7,0.0,
2010-09-15,9.2,15.0,1.1,35.1,6.1,NNE,40.2,1014.1,0.0,
2010-09-16,7.4,14.7,-0.1,46.4,8.1,NE,54.7,1016.2,0.0,
2010-09-17,8.0,19.7,-3.6,47.3,5.0,SW,35.4,1018.5,0.0,
2010-09-18,14.1,19.2,8.9,29.2,4.8,ENE,25.7,1009.2,0.0,
2010-09-19,12.7,20.2,0.5,33.9,8.0,,43.5,1008.3,0.0,
2010-09-20,10.6,17.9,-0.1,28.5,8.2,ENE,38.6,1007.5,0.0,
2010-09-21,12.7,18.2,5.1,26.6,11.0,NE,43.5,1005.2,0.0,
2010-09-22,10.8,16.4,4.5,34.9,10.3,NE,41.8,1012.4,0.0,
2010-09-23,10.1,20.6,-2.5,36.8,4.7,,30.6,1013.7,0.0,
2010-09-24,10.8,23.2,-1.6,31.5,3.2,WSW,24.1,1013.5,0.0,
2010-09-25,12.0,20.1,4.2,35.1,6.2,NNE,33.8,1012.2,0.0,
2010-09-26,8.4,17.9,-1.8,54.6,9.5,WSW,41.8,1017.3,0.0,
2010-09-27,11.3,18.4,6.0,72.6,11.0,WSW,30.6,1016.0,0.0,
2010-09-28,10.8,14.7,8.6,84.0,2.4,NNE,24.1,1015.2,5.5,
2010-09-29,10.0,17.9,3.5,69.4,9.9,NE,46.7,1016.5,2.5,
2010-09-30,8.2,15.4,3.2,68.5,5.6,NNW,29.0,1021.2,0.0,
2010-10-01,9.5,19.6,-0.6,56.0,4.1,NE,32.2,1019.2,0.0,
2010-10-02,14.9,22.3,5.3,35.6,9.2,ENE,48.3,1010.8,0.0,
2010-10-03,14.8,20.7,8.7,38.3,4.4,,32.2,1007.1,0.0,
2010-10-04,12.6,18.2,5.7,45.0,8.6,NE,37.0,1012.3,0.0,
2010-10-05,11.4,18.9,5.7,66.0,5.3,SW,20.9,1013.7,0.0,
2010-10-06,11.8,19.3,5.7,59.9,4.6,WSW,41.8,1010.7,0.0,
2010-10-07,11.8,19.1,2.0,32.3,3.9,NNE,24.1,1016.6,0.0,
2010-10-08,12.7,19.6,6.6,39.0,8.3,N,33.8,1021.2,0.0,
2010-10-09,16.9,27.3,6.2,36.7,7.1,SW,37.0,1021.2,0.0,
2010-10-10,21.9,31.3,13.7,25.2,3.7,ESE,29.0,1014.6,0.0,
2010-10-11,17.8,29.1,9.9,40.3,7.8,N,45.1,1013.2,0.0,
2010-10-12,13.2,21.7,8.6,67.2,5.5,NNW,33.8,1009.9,0.0,
2010-10-13,11.7,16.2,4.9,47.1,13.0,N,59.5,1011.1,0.0,
2010-10-14,9.0,18.5,-1.3,51.6,7.6,SW,41.8,1022.4,0.0,
2010-10-15,10.9,16.1,6.4,53.1,5.9,SW,29.0,1022.7,0.0,
2010-10-16,11.8,20.6,4.2,52.0,6.3,WSW,37.0,1024.2,0.0,
2010-10-17,14.6,25.7,5.4,45.6,11.5,SW,48.3,1014.9,0.0,
2010-10-18,16.3,24.1,6.0,33.5,4.9,ESE,35.4,1008.0,0.0,
2010-10-19,20.5,28.4,9.3,26.2,9.5,,49.9,1001.8,0.0,
2010-10-20,16.2,21.3,7.5,43.5,8.1,ESE,46.7,1004.6,0.8,
2010-10-21,10.4,18.3,2.5,46.1,5.9,NNE,32.2,1017.9,0.0,
2010-10-22,15.7,25.9,6.6,29.9,11.0,WSW,43.5,1012.5,0.0,
2010-10-23,14.5,22.6,6.2,36.0,2.9,SW,24.1,1011.5,0.0,
2010-10-24,14.7,23.4,6.0,36.9,5.4,NNE,41.8,1015.1,0.0,
2010-10-25,15.6,27.8,2.1,42.0,3.3,WSW,32.2,1015.2,0.0,
2010-10-26,19.7,31.4,7.1,41.1,13.1,SW,56.3,1010.1,0.0,
2010-10-27,18.3,23.8,14.2,52.5,5.6,SW,29.0,1006.4,0.8,
2010-10-28,17.5,24.8,9.4,47.7,6.6,SSW,45.1,1004.9,1.0,
2010-10-29,13.2,16.4,10.2,72.4,2.4,NE,19.3,1003.7,1.0,
2010-10-30,14.0,20.5,8.7,51.9,16.3,N,49.9,1006.0,2.0,
2010-10-31,16.5,26.6,4.0,51.4,7.1,NE,45.1,1013.1,0.0,
2010-11-01,20.2,27.9,11.9,42.4,6.6,NE,45.1,1015.9,0.0,
2010-11-02,16.7,26.6,8.8,56.3,9.1,WSW,51.5,1012.0,0.0,
2010-11-03,13.7,19.9,10.6,70.6,6.6,WNW,45.1,1005.6,2.0,
2010-11-04,13.5,16.7,9.6,60.6,13.0,NE,43.5,1011.8,0.8,
2010-11-05,14.6,22.8,6.4,50.9,10.2,SW,43.5,1026.0,0.0,
2010-11-06,15.7,25.4,7.1,48.6,14.1,SW,43.5,1021.6,0.0,
2010-11-07,19.8,29.8,11.6,45.5,10.8,WSW,48.3,1014.8,0.0,
2010-11-08,21.3,27.6,15.3,40.5,4.5,SW,29.0,1009.5,0.0,
2010-11-09,19.5,26.0,9.4,31.1,5.3,NNE,40.2,1001.4,0.0,
2010-11-10,19.3,24.9,13.0,32.0,6.8,ENE,40.2,1001.8,0.0,
2010-11-11,18.9,24.6,9.4,42.8,10.5,ENE,51.5,1002.0,0.0,
2010-11-12,16.1,21.6,9.8,30.4,8.2,ESE,33.8,1012.9,0.0,
2010-11-13,17.0,27.2,3.3,38.2,6.3,N,38.6,1011.8,0.0,
2010-11-14,21.6,28.2,15.3,29.0,12.7,,56.3,1004.4,0.0,
2010-11-15,18.2,27.6,6.7,26.8,6.2,NE,29.0,1009.2,0.0,
2010-11-16,18.6,29.4,9.1,31.6,5.4,NNE,33.8,1010.4,0.0,
2010-11-17,18.0,25.2,12.3,35.2,13.1,WSW,56.3,1009.3,0.0,
2010-11-18,13.5,18.5,8.8,45.5,10.5,N,37.0,1019.7,0.0,
2010-11-19,17.7,28.8,6.9,46.2,7.0,SW,29.0,1009.9,0.0,
2010-11-20,15.2,19.4,6.9,40.4,11.2,SW,59.5,1004.2,0.0,
2010-11-21,6.6,12.4,3.1,64.7,2.3,NE,29.0,1011.5,0.0,
