carne_producida,carneros,corderos,direccion_viento,finura_lana,humedad,lana_producida,localidad,mm_lluvia,muertes,ovejas,pariciones,rinde_lana,temperatura_maxima,temperatura_minima,velocidad_viento,periodo
354,4,140,133,1401,46.5,2875,Gaiman,0.5,5,1171,271,1004,8.5,14.0,8.9,2010-01-28
226,4,142,110,2509,53.3,1887,Gaiman,0.5,2,2395,393,1966,4.2,10.0,5.1,2010-01-29
440,5,137,160,2504,47.0,2706,Gaiman,0.0,24,2601,366,2741,2.4,10.7,4.1,2010-01-30
61,2,128,123,2599,46.8,2892,Gaiman,0.0,37,1865,347,1958,9.3,14.5,7.1,2010-01-31
932,4,119,144,2697,44.5,1106,Gaiman,0.0,35,1706,439,2714,6.9,13.0,7.6,2010-02-01
479,3,157,157,1007,53.6,1655,Gaiman,10.1,2,2353,342,1775,4.6,10.4,2.6,2010-02-02
767,3,146,147,1768,56.9,1020,Gaiman,1.3,40,2656,241,1828,5.7,9.2,8.1,2010-02-03
679,2,94,102,2694,54.0,2745,Gaiman,0.0,10,1474,300,1346,8.6,12.9,4.3,2010-02-04
183,5,165,116,1484,56.7,1709,Gaiman,0.0,40,1867,235,2835,5.4,12.8,3.3,2010-02-05
507,4,134,130,2138,64.0,2336,Gaiman,0.0,18,1400,244,1653,10.6,14.4,2.7,2010-02-06
259,5,131,109,2987,38.8,2996,Gaiman,0.0,9,2979,427,1913,10.8,13.7,8.9,2010-02-07
653,4,99,174,1428,48.0,2515,Gaiman,0.0,46,2105,274,2215,12.1,18.3,7.8,2010-02-08
133,4,144,129,2944,51.3,2465,Gaiman,5.1,9,1355,456,1751,9.6,12.3,11.9,2010-02-09
292,2,121,157,2277,40.7,2030,Gaiman,0.0,42,2636,220,3000,9.9,12.9,11.1,2010-02-10
580,2,95,143,2898,42.1,1514,Gaiman,0.0,45,1523,219,1554,10.7,15.1,6.2,2010-02-11
228,5,117,152,1865,76.6,1452,Gaiman,3.8,1,2411,311,2118,4.3,10.5,1.3,2010-02-12
212,1,120,169,1593,48.7,1782,Gaiman,0.0,34,2917,357,2463,6.8,12.0,4.9,2010-02-13
129,1,164,104,2550,44.9,2696,Gaiman,0.0,1,1992,267,2446,7.3,12.7,6.6,2010-02-14
524,2,119,172,2385,63.4,2211,Gaiman,0.0,5,1493,387,2835,2.4,9.8,1.2,2010-02-15
510,3,109,128,1416,55.5,1426,Gaiman,0.0,35,2260,270,2993,3.3,12.8,2.2,2010-02-16
880,5,170,94,2023,82.3,2039,Gaiman,19.8,34,2124,306,2483,10.1,12.5,2.0,2010-02-17
825,4,160,165,2038,79.8,2984,Gaiman,0.5,22,2572,257,1538,7.8,12.7,0.9,2010-02-18
556,5,131,149,2450,75.1,1746,Gaiman,0.0,31,2564,424,2580,6.1,12.5,1.3,2010-02-19
137,5,97,165,2531,67.8,1832,Gaiman,0.0,36,1452,370,2172,4.6,12.6,1.2,2010-02-20
149,1,123,141,2850,67.0,2756,Gaiman,0.0,40,2879,497,1184,4.7,12.3,2.2,2010-02-21
688,4,144,125,2212,44.5,1221,Gaiman,0.0,34,2888,205,1939,10.8,14.4,6.7,2010-02-22
101,3,154,116,1066,56.0,2530,Gaiman,0.0,4,1824,424,2901,3.1,12.4,2.9,2010-02-23
716,1,171,127,2963,68.5,1406,Gaiman,0.0,35,1668,378,1966,4.9,12.6,1.2,2010-02-24
142,2,174,108,2877,67.9,1447,Gaiman,0.0,7,1819,305,2206,4.6,13.4,1.1,2010-02-25
186,4,147,172,2701,61.3,1199,Gaiman,0.0,31,2928,231,1306,6.8,15.7,4.1,2010-02-26
623,3,151,108,1646,55.5,1979,Gaiman,0.0,43,1704,495,2366,7.3,17.4,1.9,2010-02-27
632,5,170,163,2805,54.9,2703,Gaiman,0.0,49,1513,237,2928,7.2,18.6,3.2,2010-02-28
740,4,99,110,2238,65.7,1300,Gaiman,0.0,31,1432,247,1762,10.6,17.9,1.1,2010-03-01
424,3,179,96,1211,60.3,2473,Gaiman,0.0,3,1594,443,2192,8.0,16.3,2.6,2010-03-02
980,1,176,135,1979,66.1,2362,Gaiman,0.0,44,1123,394,1668,4.7,13.5,0.9,2010-03-03
224,1,165,140,2573,59.7,2977,Gaiman,0.0,16,2366,224,2994,6.4,14.8,0.7,2010-03-04
525,3,160,141,2129,71.7,2979,Gaiman,0.0,10,2124,382,1869,9.7,15.0,0.3,2010-03-05
731,1,128,96,1486,75.5,2810,Gaiman,0.0,7,1018,484,1776,6.6,13.8,1.2,2010-03-06
277,3,159,166,1546,59.8,1674,Gaiman,0.0,7,2892,467,2722,9.2,15.1,3.9,2010-03-07
123,5,134,140,2182,49.1,2968,Gaiman,0.0,24,1730,345,1029,11.4,15.5,5.2,2010-03-08
908,2,119,91,1110,56.7,1441,Gaiman,0.0,48,2246,267,1077,4.9,14.8,4.3,2010-03-09
436,5,144,117,2032,50.4,1127,Gaiman,0.0,32,1679,459,2443,12.2,16.2,3.3,2010-03-10
8,2,101,135,2230,37.5,1918,Gaiman,0.0,25,1690,302,1002,9.3,14.8,7.4,2010-03-11
896,4,122,112,1752,45.9,2685,Gaiman,0.0,41,1791,245,1590,7.8,13.8,8.6,2010-03-12
402,4,99,118,2551,33.5,1250,Gaiman,0.0,46,1170,374,2108,7.9,13.1,10.5,2010-03-13
965,1,171,151,2435,42.0,1971,Gaiman,0.0,21,2259,339,2351,8.7,11.5,8.4,2010-03-14
412,5,161,157,2618,57.7,2617,Gaiman,0.0,49,1948,447,1772,8.5,14.0,4.9,2010-03-15
637,1,131,102,2003,60.0,2702,Gaiman,0.0,20,1652,432,1335,13.7,17.0,5.0,2010-03-16
805,2,163,113,2911,68.5,1111,Gaiman,0.0,32,2238,491,1956,12.8,15.8,1.7,2010-03-17
500,1,126,126,2534,77.5,1174,Gaiman,1.0,14,2289,317,2041,11.1,14.0,1.2,2010-03-18
708,2,138,118,1606,79.5,1248,Gaiman,0.0,37,2600,380,1853,6.4,11.6,0.9,2010-03-19
817,3,139,163,2373,66.4,2153,Gaiman,0.0,9,1400,465,2594,5.9,13.5,3.7,2010-03-20
228,2,143,99,2235,45.9,1625,Gaiman,0.0,16,2304,409,2876,12.6,15.1,8.9,2010-03-21
313,2,165,174,2897,48.1,1366,Gaiman,0.0,38,1422,369,2015,9.9,13.0,6.5,2010-03-22
738,2,139,95,1790,45.1,2778,Gaiman,0.0,26,2777,384,1240,9.1,12.7,6.3,2010-03-23
632,1,180,117,1367,53.1,2919,Gaiman,0.0,24,2554,471,2756,9.7,13.7,5.2,2010-03-24
901,3,151,152,2739,55.4,2293,Gaiman,0.0,3,1893,427,2478,12.1,14.9,3.7,2010-03-25
645,1,169,160,1822,64.8,1790,Gaiman,0.0,10,2460,349,2726,6.1,13.8,2.1,2010-03-26
260,2,154,101,2667,69.5,1635,Gaiman,0.0,36,2756,237,2586,5.6,13.6,1.0,2010-03-27
855,5,145,176,2600,79.7,1404,Gaiman,0.0,15,1259,278,2501,6.3,11.3,0.1,2010-03-28
881,2,128,131,2327,76.3,2731,Gaiman,0.0,39,1909,353,2092,4.5,11.2,0.8,2010-03-29
431,5,143,153,1687,78.3,1229,Gaiman,0.3,15,1451,320,2498,8.2,13.2,0.7,2010-03-30
100,5,157,144,1589,66.3,2728,Gaiman,0.0,22,2503,399,1973,3.8,11.5,3.6,2010-03-31
731,2,114,149,1916,54.4,1875,Gaiman,1.0,19,2320,347,1378,8.0,11.1,6.8,2010-04-01
294,2,92,159,1003,46.2,1203,Gaiman,0.0,22,2428,490,1609,3.4,10.1,5.1,2010-04-02
955,2,177,103,1836,64.3,1344,Gaiman,0.0,9,2685,406,2054,0.1,6.8,0.8,2010-04-03
992,4,154,125,1266,76.0,2321,Gaiman,0.0,6,1408,232,1814,1.5,7.9,0.7,2010-04-04
740,2,91,169,1581,78.5,1681,Gaiman,0.0,30,1667,356,2273,1.2,7.6,0.6,2010-04-05
404,3,132,137,2462,59.0,2733,Gaiman,0.0,43,1823,311,1672,2.4,11.2,3.9,2010-04-06
265,5,134,148,2082,73.6,1694,Gaiman,0.0,29,2529,218,1909,0.4,7.4,0.8,2010-04-07
383,2,159,166,2999,73.0,1046,Gaiman,0.0,11,2286,270,1909,2.0,8.2,0.3,2010-04-08
299,4,90,111,2376,79.5,2378,Gaiman,0.0,2,1943,269,2868,2.2,10.1,0.3,2010-04-09
322,3,92,138,2195,73.3,2633,Gaiman,0.0,15,2996,297,1982,3.5,10.4,0.5,2010-04-10
492,5,143,134,1872,61.7,1300,Gaiman,0.0,33,1760,213,1598,2.7,11.3,3.4,2010-04-11
17,1,111,95,1123,77.8,1472,Gaiman,0.0,36,1839,285,1081,4.7,8.7,0.3,2010-04-12
178,5,107,114,1242,66.5,2953,Gaiman,0.0,3,1438,428,2928,1.9,9.2,1.2,2010-04-13
37,5,93,115,2602,66.2,1513,Gaiman,0.0,16,1818,486,1356,6.2,11.6,2.6,2010-04-14
82,3,100,154,2730,65.1,1106,Gaiman,0.0,12,1909,311,2150,10.1,13.8,2.5,2010-04-15
284,2,121,178,2434,53.2,1291,Gaiman,0.0,12,1622,230,2351,8.6,12.4,5.8,2010-04-16
208,4,155,140,2805,57.8,1347,Gaiman,0.0,40,1372,237,2094,2.5,7.7,4.8,2010-04-17
724,5,91,135,2779,69.4,2627,Gaiman,2.0,30,1657,262,2083,2.8,6.1,4.4,2010-04-18
570,2,175,146,1922,55.7,1955,Gaiman,0.0,36,2431,370,2692,2.2,5.9,4.4,2010-04-19
128,2,110,179,1029,50.8,2128,Gaiman,0.0,37,2064,496,1612,-1.4,7.6,5.2,2010-04-20
582,4,111,172,1915,54.0,2216,Gaiman,0.0,26,2884,200,1276,-1.6,5.0,2.2,2010-04-21
362,2,141,107,2511,61.5,2128,Gaiman,0.0,50,1693,446,1276,-3.8,5.0,2.9,2010-04-22
31,5,147,104,1086,65.3,1766,Gaiman,0.0,27,2990,232,1008,0.3,8.0,2.9,2010-04-23
807,4,129,99,1139,56.7,1909,Gaiman,0.0,40,2721,280,2733,2.3,10.6,5.1,2010-04-24
440,3,118,128,1047,62.2,1319,Gaiman,0.0,7,1713,392,2243,1.5,9.9,3.8,2010-04-25
578,5,102,163,2181,49.4,2948,Gaiman,0.0,32,2718,384,2198,6.8,12.3,5.3,2010-04-26
260,5,124,175,2626,47.0,1020,Gaiman,0.0,41,1217,254,1545,10.8,13.1,6.4,2010-04-27
168,4,91,122,1522,41.9,1090,Gaiman,0.0,49,1862,353,1485,10.6,12.6,8.9,2010-04-28
419,3,179,133,1051,47.8,2689,Gaiman,0.0,42,1937,213,1744,10.7,14.8,9.4,2010-04-29
412,5,136,145,1842,42.8,1326,Gaiman,0.0,23,1891,310,2710,16.3,19.5,11.4,2010-04-30
543,3,130,114,2911,69.7,1940,Gaiman,4.8,45,2281,387,1226,9.7,13.8,6.1,2010-05-01
518,2,115,119,1017,37.7,2483,Gaiman,0.3,22,2523,497,2846,8.1,11.1,8.1,2010-05-02
320,1,178,101,2471,48.6,1499,Gaiman,0.8,3,2239,421,2255,6.9,10.3,6.9,2010-05-03
606,4,163,152,2023,49.8,1852,Gaiman,0.0,47,2226,214,1515,4.5,9.0,4.5,2010-05-04
649,1,91,135,1583,61.4,1643,Gaiman,0.3,46,1780,367,2725,-0.6,5.2,3.9,2010-05-05
470,1,172,110,2495,44.1,2371,Gaiman,0.0,3,1120,277,1254,4.7,9.6,7.8,2010-05-06
830,5,134,138,1675,51.1,2724,Gaiman,0.0,17,2657,461,2865,10.6,13.1,6.7,2010-05-07
232,5,178,167,2104,52.0,2477,Gaiman,0.0,42,2369,319,2562,4.8,12.7,4.5,2010-05-08
890,4,109,103,2207,69.8,2012,Gaiman,0.0,1,1589,238,2973,1.7,6.2,0.6,2010-05-09
160,1,132,179,1688,85.7,2469,Gaiman,0.0,40,1584,498,2198,-0.7,3.2,0.2,2010-05-10
302,2,96,163,2944,76.8,2956,Gaiman,0.3,32,2871,219,1249,-0.4,5.5,1.7,2010-05-11
194,1,134,158,1459,40.1,1271,Gaiman,0.0,5,2315,349,1742,8.1,10.0,7.5,2010-05-12
167,2,150,127,1373,55.1,2591,Gaiman,0.0,24,2779,259,1772,2.0,7.8,4.6,2010-05-13
804,4,108,162,1626,57.5,1984,Gaiman,0.0,2,1644,267,1705,-2.3,4.1,0.8,2010-05-14
952,3,114,136,1036,57.9,1908,Gaiman,0.0,12,2996,453,2757,-3.3,4.3,1.2,2010-05-15
260,1,156,139,1290,50.8,1174,Gaiman,0.0,3,1439,344,2186,4.7,10.2,3.2,2010-05-16
623,5,147,162,1699,69.5,2885,Gaiman,0.8,45,2980,265,2859,5.6,10.0,3.4,2010-05-17
475,4,154,131,2885,77.4,1435,Gaiman,2.8,6,1888,208,2754,4.0,7.7,2.7,2010-05-18
832,5,132,150,2367,60.9,2057,Gaiman,0.0,11,2393,218,1331,0.4,7.1,2.8,2010-05-19
468,2,173,100,2226,66.8,2726,Gaiman,0.0,35,1870,292,1225,1.5,6.5,2.6,2010-05-20
29,2,93,90,2473,73.7,2526,Gaiman,0.0,12,2298,376,1401,-0.4,4.5,0.8,2010-05-21
555,2,148,121,2588,77.7,1372,Gaiman,0.5,33,2656,440,1592,2.8,5.8,1.8,2010-05-22
974,2,91,105,2356,75.6,1205,Gaiman,0.3,23,1361,320,2184,0.7,5.8,0.9,2010-05-23
321,3,120,166,2479,65.3,1101,Gaiman,0.0,45,2040,381,1582,-0.2,7.0,4.7,2010-05-24
28,1,131,147,1845,61.8,1789,Gaiman,0.0,47,1596,355,1375,-3.7,1.5,1.9,2010-05-25
971,2,135,145,1765,65.3,1430,Gaiman,0.0,21,1817,438,2898,-4.6,-0.4,0.4,2010-05-26
237,2,155,158,2076,61.8,2603,Gaiman,0.0,13,1712,342,2067,-4.2,-0.2,1.1,2010-05-27
711,1,105,169,2372,37.9,2345,Gaiman,0.0,49,2128,202,1109,1.0,9.5,7.5,2010-05-28
689,2,137,159,1397,48.3,2476,Gaiman,0.0,23,2795,390,1688,-0.9,7.1,6.1,2010-05-29
148,4,124,115,1012,70.1,2534,Gaiman,0.0,36,1813,471,2303,0.7,4.9,2.0,2010-05-30
419,4,173,170,1831,70.1,2618,Gaiman,0.0,2,2569,262,1646,-0.1,7.2,1.6,2010-05-31
889,4,106,175,1336,62.0,1404,Gaiman,0.0,29,1334,468,2364,2.6,7.6,4.1,2010-06-01
895,1,106,162,1451,61.8,2708,Gaiman,0.0,27,1843,218,1363,0.1,5.9,2.1,2010-06-02
123,5,165,118,1062,65.0,2348,Gaiman,0.0,27,2387,214,2601,-0.7,4.0,1.0,2010-06-03
481,5,110,114,2154,64.3,1799,Gaiman,1.5,41,2547,238,1090,-0.8,8.2,3.6,2010-06-04
471,3,128,136,1836,71.8,1533,Gaiman,15.5,11,2540,242,1339,7.3,9.4,4.8,2010-06-05
794,1,160,180,2381,46.7,1137,Gaiman,0.0,29,2576,301,1063,4.0,6.5,7.9,2010-06-06
46,3,178,144,2387,56.5,1095,Gaiman,0.0,11,1705,294,2282,-2.1,4.8,5.1,2010-06-07
920,3,125,126,1807,66.9,2380,Gaiman,0.0,35,1293,469,1779,-3.6,0.7,1.1,2010-06-08
738,1,113,178,1855,62.8,2829,Gaiman,0.0,29,2592,260,2926,-2.1,0.6,1.3,2010-06-09
864,5,105,150,1596,77.1,2894,Gaiman,0.0,37,1836,445,2457,-3.4,0.5,0.2,2010-06-10
550,5,178,156,1796,80.4,2481,Gaiman,0.3,17,1366,364,1629,-0.9,2.8,0.3,2010-06-11
468,1,157,119,1924,69.7,2757,Gaiman,0.5,19,1588,218,2014,0.2,8.1,1.7,2010-06-12
153,2,127,115,2118,88.1,1429,Gaiman,3.0,44,2425,217,1199,3.1,5.9,0.0,2010-06-13
274,1,135,112,2158,91.5,1395,Gaiman,23.8,36,2506,217,1175,1.5,4.9,0.6,2010-06-14
335,2,117,129,1882,82.3,1093,Gaiman,1.0,32,1560,270,1766,0.3,1.1,1.7,2010-06-15
382,5,137,118,1459,71.2,1250,Gaiman,0.3,6,2064,479,2460,-1.6,0.3,2.3,2010-06-16
452,2,115,123,1264,73.0,1636,Gaiman,0.0,33,1676,228,1210,-3.6,-0.2,1.2,2010-06-17
31,5,115,170,2991,71.7,1951,Gaiman,0.0,7,2471,322,2123,-4.9,-1.2,0.3,2010-06-18
653,5,95,105,1682,63.3,2507,Gaiman,0.5,37,2973,231,2483,-3.3,3.2,3.9,2010-06-19
845,2,162,110,2044,72.2,2254,Gaiman,0.0,1,2195,262,2412,-2.8,-0.4,1.0,2010-06-20
549,2,117,169,1697,78.7,2266,Gaiman,0.0,24,1176,320,1947,-1.1,0.7,0.3,2010-06-21
57,1,176,148,2441,85.3,1592,Gaiman,4.3,33,2997,486,1564,-0.8,3.3,0.7,2010-06-22
864,1,104,152,1747,64.1,2704,Gaiman,2.0,24,1778,258,1874,2.2,6.4,7.1,2010-06-23
913,4,167,178,2725,58.9,1116,Gaiman,1.5,44,1499,378,2808,2.2,4.2,8.0,2010-06-24
5,5,134,105,1497,55.4,2451,Gaiman,0.3,6,2373,387,1376,1.7,6.0,3.9,2010-06-25
551,3,121,90,2122,54.9,2838,Gaiman,0.0,13,1594,321,1106,0.8,7.6,6.0,2010-06-26
758,1,168,151,2377,56.2,1237,Gaiman,0.0,46,2992,406,1722,7.5,10.9,5.9,2010-06-27
44,2,99,171,1421,78.5,1031,Gaiman,40.6,25,1172,440,1621,8.1,9.9,4.5,2010-06-28
818,3,134,133,1311,67.2,1909,Gaiman,5.6,13,1818,441,2210,0.1,5.8,5.5,2010-06-29
508,5,169,111,1364,68.3,1292,Gaiman,0.0,21,2183,450,1900,-0.9,3.5,1.3,2010-06-30
584,5,154,93,1282,64.0,2515,Gaiman,0.8,14,2239,426,1933,-0.6,4.3,3.3,2010-07-01
607,4,170,150,1802,49.0,1756,Gaiman,0.0,14,2719,250,2599,0.4,7.9,5.9,2010-07-02
725,4,119,149,2389,72.1,1014,Gaiman,2.5,36,2292,479,1255,2.2,4.8,3.9,2010-07-03
411,4,180,129,1891,77.2,2146,Gaiman,1.0,50,2226,362,1224,-1.1,3.5,1.7,2010-07-04
768,1,94,162,1608,64.9,1905,Gaiman,0.0,26,1059,283,1797,-3.1,1.0,2.1,2010-07-05
452,2,175,143,1471,68.7,1567,Gaiman,0.0,18,1452,340,2498,-1.2,3.9,2.5,2010-07-06
553,5,162,143,1844,78.0,1706,Gaiman,4.1,23,1483,263,1127,-2.3,1.2,1.6,2010-07-07
117,2,169,110,2690,57.6,1301,Gaiman,0.3,34,1126,294,1912,-2.8,2.9,4.6,2010-07-08
456,3,134,161,1587,57.4,1163,Gaiman,3.1,49,1715,245,1202,1.7,5.1,5.5,2010-07-09
828,4,145,169,1529,91.8,1497,Gaiman,11.4,12,2428,490,2194,-0.4,0.5,0.1,2010-07-10
861,5,121,115,1379,70.3,2566,Gaiman,16.7,20,1160,458,2135,-3.4,1.7,1.7,2010-07-11
904,3,132,100,2907,77.2,2865,Gaiman,5.3,13,1828,218,1872,-3.9,0.9,0.9,2010-07-12
485,4,136,120,1155,83.2,2337,Gaiman,0.8,29,1664,451,1518,-0.4,1.9,0.2,2010-07-13
920,2,113,105,1322,73.8,1047,Gaiman,0.0,19,1413,310,2606,-0.4,2.5,1.1,2010-07-14
253,5,143,155,2858,66.5,1801,Gaiman,0.0,46,1681,387,1756,-4.5,-0.5,1.0,2010-07-15
185,2,162,110,1042,80.0,2846,Gaiman,0.0,16,2840,326,2682,-1.8,1.4,0.3,2010-07-16
522,3,120,129,1819,84.0,2122,Gaiman,0.0,36,2326,341,2858,0.1,3.6,0.3,2010-07-17
337,1,167,139,2221,92.2,1539,Gaiman,0.3,19,2864,239,1378,0.4,2.6,0.2,2010-07-18
970,1,95,121,2744,65.5,2240,Gaiman,0.5,27,2931,324,2074,0.8,6.3,2.5,2010-07-19
346,4,154,112,1335,88.3,1123,Gaiman,11.9,29,1077,430,1124,-0.2,1.5,1.8,2010-07-20
519,1,134,91,2760,70.2,2960,Gaiman,0.0,35,2399,203,2850,-2.5,1.7,2.4,2010-07-21
922,3,150,132,2078,64.0,2541,Gaiman,0.0,1,2110,331,2256,1.1,5.9,4.2,2010-07-22
8,5,177,163,2704,78.5,2356,Gaiman,0.0,32,1414,392,1885,2.2,4.4,1.4,2010-07-23
24,2,136,168,1759,80.7,2248,Gaiman,0.0,8,1816,332,1088,0.5,3.8,0.7,2010-07-24
769,2,132,115,1306,62.6,2380,Gaiman,0.0,26,2877,335,1411,0.4,6.2,3.7,2010-07-25
85,3,161,130,1865,63.1,2275,Gaiman,1.0,43,1231,394,2573,-0.4,6.8,5.1,2010-07-26
604,1,109,131,1823,59.1,2889,Gaiman,2.3,13,1568,401,1633,3.9,5.8,6.3,2010-07-27
557,2,137,130,2037,57.9,1832,Gaiman,0.0,26,1973,264,1243,2.7,7.7,4.0,2010-07-28
102,5,111,159,1899,68.6,1172,Gaiman,0.8,8,1332,300,1065,1.8,5.0,4.1,2010-07-29
696,3,175,116,2697,69.9,2956,Gaiman,0.0,27,2145,290,2368,-1.1,1.7,1.7,2010-07-30
230,5,170,161,2163,56.1,2887,Gaiman,0.0,24,2912,339,1441,-2.4,0.6,2.6,2010-07-31
561,5,105,166,2645,60.6,1845,Gaiman,0.0,11,1774,311,1081,-4.8,-0.3,1.6,2010-08-01
521,2,123,173,1054,72.2,1770,Gaiman,0.0,12,2928,211,1180,-4.2,0.1,0.8,2010-08-02
195,5,117,144,1192,74.3,1155,Gaiman,0.0,3,1005,425,2508,-4.0,0.2,1.0,2010-08-03
647,1,138,92,2470,70.2,2451,Gaiman,0.0,26,2210,362,2529,-2.8,0.5,1.2,2010-08-04
543,2,145,142,1112,63.6,1282,Gaiman,0.0,8,1160,291,2047,-2.0,1.2,2.9,2010-08-05
926,4,119,176,2099,59.4,1165,Gaiman,0.3,37,1326,344,1867,-2.1,4.9,5.1,2010-08-06
446,2,178,113,1561,52.4,2159,Gaiman,0.0,35,2633,231,1287,1.8,7.7,5.6,2010-08-07
871,3,169,179,1505,54.1,2975,Gaiman,0.0,3,2133,419,2107,5.9,9.7,6.8,2010-08-08
812,3,149,113,1263,41.7,1593,Gaiman,0.0,1,1728,386,2307,3.8,9.4,7.4,2010-08-09
644,5,171,120,1957,54.0,2103,Gaiman,0.0,29,2680,449,1689,-1.9,6.4,3.5,2010-08-10
401,4,146,141,2937,42.6,1790,Gaiman,0.0,10,2621,416,1867,0.8,8.2,6.5,2010-08-11
690,5,154,112,2550,58.0,1820,Gaiman,0.0,18,1730,479,1953,-2.8,2.5,1.0,2010-08-12
769,4,108,178,2393,62.5,2284,Gaiman,0.0,49,1430,456,2609,-2.7,1.7,0.9,2010-08-13
108,1,126,135,1192,63.3,2128,Gaiman,0.0,19,1027,488,2917,-3.0,1.4,1.0,2010-08-14
688,3,102,174,1012,65.3,1022,Gaiman,0.0,34,2296,316,2490,-2.7,1.8,1.6,2010-08-15
700,5,120,113,2352,67.2,1787,Gaiman,0.0,28,1357,204,1845,-0.4,5.2,1.2,2010-08-16
344,5,135,135,1576,66.0,2394,Gaiman,0.0,11,1906,496,2919,1.6,7.8,1.2,2010-08-17
960,1,156,113,1513,62.5,1103,Gaiman,0.0,13,1935,206,2447,0.5,6.9,2.5,2010-08-18
277,4,132,176,1333,66.1,2217,Gaiman,0.0,9,2678,234,1334,0.1,6.7,1.6,2010-08-19
295,2,164,170,2221,65.1,2724,Gaiman,0.3,10,2472,354,1138,3.4,7.3,4.0,2010-08-20
370,1,177,138,1521,47.2,2620,Gaiman,0.0,23,1300,370,2047,1.8,8.3,4.9,2010-08-21
201,4,105,111,1636,51.6,2961,Gaiman,0.0,20,2120,392,2084,4.4,8.1,5.0,2010-08-22
255,2,106,124,1015,67.7,1158,Gaiman,0.0,13,1211,485,1044,0.2,7.4,4.8,2010-08-23
865,3,101,110,2889,66.1,1242,Gaiman,0.0,16,1689,378,1100,0.5,6.9,5.1,2010-08-24
285,3,178,162,1289,73.4,1338,Gaiman,15.0,10,2547,454,2118,-0.4,5.7,3.2,2010-08-25
762,4,146,136,1041,76.1,2997,Gaiman,10.2,26,2798,385,2418,1.1,5.1,4.9,2010-08-26
181,5,132,168,2214,75.2,1378,Gaiman,0.3,43,2742,428,1497,-0.6,2.9,2.9,2010-08-27
618,4,179,134,2243,51.1,2201,Gaiman,0.0,47,1030,208,2384,-1.8,3.6,4.0,2010-08-28
